id_producto,nombre,precio,descripcion
267,pollo,6605,carne
357,mouse,14549,producto tecnologico
295,manzana,11013,frutas
158,hamburguesa de pollo,10287,hamburguesa
379,hamburguesa de vacuno,11754,hamburguesa
382,kiwi,10967,frutas
367,teclado,7331,producto tecnologico
327,hallulla,6887,pan
83, frutillas en conserva,12139,fruta en conserva
412,marraqueta,14464,pan
384,pantalla lineas,13539,pantalla de luz
394,limon,5808,verduras
150,salmon,6044,pescado congelado
331,lenguado,6376,pescado congelado
191,marraqueta,6589,pan
151,cerdo congelado,13962,carne congelada
284,marraqueta,14433,pan
13,esparragos frasco,14537,verdura en conserva
257,pantalon,12445,ropa
41,hamburguesa de verduras,13789,hamburguesa
40,pantalla lisa,11843,pantalla de luz
75,lechuga,7914,verduras
32,pantalla para colgar,6200,pantalla de luz
104,chaqueta,9435,ropa
313,platano,12727,frutas
171,mix de frutas en conserva,8658,fruta en conserva
399,mouse,14474,producto tecnologico
401,arvejas congeladas,14782,verduras congeladas
400,mix de verduras congeladas,13648,verduras congeladas
368,limon,12932,verduras
167,hamburguesa de vacuno,9224,hamburguesa
389,manzana,7436,frutas
341,pollo congelado,10534,carne congelada
352,mix de frutas en conserva,14348,fruta en conserva
30,vacuno,8973,carne
356,kiwi,14585,frutas
128,pavo,9003,carne
378,televisor,10657,producto tecnologico
57,cerdo,7160,carne
110,pantalla papel,9914,pantalla de luz
63,arvejas congeladas,14607,verduras congeladas
9,hamburguesa de verduras,11678,hamburguesa
163,carne molida,7134,carne congelada
369,tomate,13568,verduras
61,vacuno,5898,carne
39,merlusa,10053,pescado congelado
381,pantalla para colgar,8882,pantalla de luz
220,manzana,11649,frutas
256,porotos congelados,14619,verduras congeladas
92,garbanzos en conserva,11554,verdura en conserva
302,teclado,8227,producto tecnologico
275,pantalla lisa,13875,pantalla de luz
116,cerdo congelado,11027,carne congelada
376,arvejas en conserva,14460,verdura en conserva
37,cerdo,13208,carne
370,pera,14775,frutas
122,porotos congelados,11540,verduras congeladas
219,papaya en conserva,13561,fruta en conserva
28,cerdo,12064,carne
135,arvejas congeladas,9491,verduras congeladas
182,manzana,14158,frutas
332,pantalla lisa,7833,pantalla de luz
87,teclado,12613,producto tecnologico
142,mix de frutas en conserva,5219,fruta en conserva
344,pantalla para colgar,11629,pantalla de luz
53,durazno,5640,frutas
73,pantalla lineas,8949,pantalla de luz
102,televisor,5303,producto tecnologico
351,vacuno congelado,11224,carne congelada
360,pantalla papel,11751,pantalla de luz
348,mouse,14046,producto tecnologico
218,hamburguesa de pollo,8248,hamburguesa
244,pantalla para colgar,5174,pantalla de luz
278,camiseta,9381,ropa
315,pantalla lisa,13048,pantalla de luz
291,arvejas congeladas,9580,verduras congeladas
303,pantalla lisa,14182,pantalla de luz
127,pan de molde,9653,pan
229,merlusa,8380,pescado congelado
176,salmon,6261,pescado congelado
314,pavo congelado,12293,carne congelada
93,pan de molde,11181,pan
5,mix de verduras congeladas,11791,verduras congeladas
297,pantalla para colgar,6596,pantalla de luz
7,pantalla lineas,10802,pantalla de luz
133,reineta,7700,pescado congelado
254,kiwi,7974,frutas
226,carne molida,5033,carne congelada
208,telefono,9760,producto tecnologico
0,merlusa,8706,pescado congelado
181,hamburguesa de verduras,5304,hamburguesa
62, frutillas en conserva,6958,fruta en conserva
160,merlusa,10910,pescado congelado
246,pollo,9006,carne
409,pantalla lineas,12158,pantalla de luz
340,pantalla para colgar,5107,pantalla de luz
20,cerdo,12012,carne
22,televisor,5912,producto tecnologico
119,hamburguesa de vacuno,12701,hamburguesa
187,carne molida,12944,carne congelada
312,pantalla papel,6898,pantalla de luz
205,lechuga,5224,verduras
404,mix de verduras congeladas,14681,verduras congeladas
385,limon,11324,verduras
192,telefono,12648,producto tecnologico
279,merlusa,9334,pescado congelado
245,pantalla lisa,6627,pantalla de luz
273,hallulla,12150,pan
154,telefono,13859,producto tecnologico
18,palta,14117,verduras
60,pantalla para colgar,8436,pantalla de luz
78,hamburguesa de quinoa,7460,hamburguesa
308,mix de verduras congeladas,6920,verduras congeladas
414,pantalla lineas,11871,pantalla de luz
298,vestido,5065,ropa
326,esparragos frasco,14352,verdura en conserva
175,hallulla,11970,pan
405,pavo,7717,carne
76,manzana,9326,frutas
396,porotos congelados,8296,verduras congeladas
363,jeans,7348,ropa
1,mix de frutas en conserva,10730,fruta en conserva
140,teclado,6971,producto tecnologico
292,vacuno congelado,12122,carne congelada
16,hamburguesa de quinoa,5914,hamburguesa
311,vestido,14898,ropa
377,telefono,14256,producto tecnologico
222,vestido,10689,ropa
38,cerdo congelado,5036,carne congelada
153,pantalla papel,8665,pantalla de luz
224,camiseta,12133,ropa
138,marraqueta,9334,pan
211,hamburguesa de quinoa,13949,hamburguesa
264,hamburguesa de vacuno,14847,hamburguesa
46,palta,13279,verduras
94,pollo congelado,6136,carne congelada
25,lechuga,7704,verduras
214,cerdo,6063,carne
143,vacuno,13742,carne
66,vacuno congelado,12014,carne congelada
402,salmon,6712,pescado congelado
371,marraqueta,11380,pan
168,hallulla,6062,pan
209,televisor,10968,producto tecnologico
238,reineta,10784,pescado congelado
366,pantalla papel,8830,pantalla de luz
318,pavo,6208,carne
79,teclado,5555,producto tecnologico
3,merlusa,13317,pescado congelado
268,teclado,12598,producto tecnologico
101,mix de verduras congeladas,8253,verduras congeladas
334,pantalla lineas,9860,pantalla de luz
33, frutillas en conserva,9530,fruta en conserva
162,pollo,9026,carne
304,jeans,8403,ropa
392,arvejas en conserva,13884,verdura en conserva
74,pantalla lisa,14478,pantalla de luz
35,hamburguesa de vacuno,13174,hamburguesa
301,carne molida,6414,carne congelada
380,reineta,6388,pescado congelado
261,palta,13207,verduras
198,mouse,12730,producto tecnologico
85,salmon,9211,pescado congelado
206,lenguado,8200,pescado congelado
125,teclado,6734,producto tecnologico
174,vacuno,14113,carne
215,durazno,9245,frutas
113,hamburguesa de verduras,8820,hamburguesa
36,lenguado,12514,pescado congelado
397,palta,13962,verduras
70,vacuno congelado,14623,carne congelada
157,hamburguesa de pollo,14465,hamburguesa
34,mix de verduras congeladas,13386,verduras congeladas
252,pavo congelado,6840,carne congelada
98,teclado,5890,producto tecnologico
49,televisor,11837,producto tecnologico
408,garbanzos en conserva,12008,verdura en conserva
84,pantalla lisa,14987,pantalla de luz
217,pollo,13965,carne
269,televisor,11826,producto tecnologico
166,reineta,12040,pescado congelado
388,hamburguesa de vacuno,8376,hamburguesa
375,pollo congelado,7447,carne congelada
411,durazno,11230,frutas
172,polera,11996,ropa
68,camisa,5009,ropa
21,televisor,12324,producto tecnologico
266,poleron,11997,ropa
237,marraqueta,6179,pan
293,vacuno congelado,7891,carne congelada
265,telefono,6947,producto tecnologico
195,reineta,8674,pescado congelado
347,salmon,5361,pescado congelado
134,jeans,10305,ropa
45,salmon,10211,pescado congelado
82,durazno,9861,frutas
26,manzana,7438,frutas
194,hallulla,9444,pan
321,esparragos frasco,9752,verdura en conserva
210,pantalla lisa,7658,pantalla de luz
15,durazno,13302,frutas
107,esparragos frasco,7134,verdura en conserva
355,mix de frutas en conserva,12120,fruta en conserva
258,chaqueta,13813,ropa
148,palta,9424,verduras
270,hamburguesa de verduras,12794,hamburguesa
95,esparragos frasco,9882,verdura en conserva
353,pavo congelado,7137,carne congelada
309,carne molida,5014,carne congelada
165,camiseta,10613,ropa
123,choclo congelado,14418,verduras congeladas
338,mix de frutas en conserva,10464,fruta en conserva
413,durazno en conserva,12428,fruta en conserva
247,poleron,12512,ropa
248,pantalla para colgar,8944,pantalla de luz
111,lechuga,8330,verduras
81,hamburguesa de vacuno,8644,hamburguesa
55,mouse,6334,producto tecnologico
283,telefono,12515,producto tecnologico
287,carne molida,14751,carne congelada
56,lenguado,5173,pescado congelado
89,pantalla lineas,6647,pantalla de luz
120,marraqueta,13520,pan
300,durazno en conserva,5467,fruta en conserva
231,jeans,13914,ropa
398,pantalla papel,14579,pantalla de luz
184,hamburguesa de vacuno,6871,hamburguesa
131,cerdo congelado,8452,carne congelada
416,esparragos frasco,6807,verdura en conserva
44,lenguado,12660,pescado congelado
260,limon,10707,verduras
329,hallulla,12550,pan
90,mix de verduras congeladas,9916,verduras congeladas
129,pan de molde,10062,pan
272,salmon,6760,pescado congelado
236,mouse,11941,producto tecnologico
27,hamburguesa de pollo,13436,hamburguesa
42,cerdo,6686,carne
23,arvejas congeladas,12666,verduras congeladas
320,pantalla lineas,8495,pantalla de luz
349, frutillas en conserva,7657,fruta en conserva
19,durazno en conserva,8421,fruta en conserva
286,manzana,13091,frutas
262,lenguado,14080,pescado congelado
372,mouse,9082,producto tecnologico
197,pantalla papel,10497,pantalla de luz
186,lechuga,13393,verduras
415,pantalla lineas,8289,pantalla de luz
126,teclado,12241,producto tecnologico
285,durazno,13057,frutas
403,vestido,11750,ropa
121,pan de molde,7108,pan
11,papaya en conserva,7060,fruta en conserva
322,mix de verduras congeladas,11198,verduras congeladas
31,papaya en conserva,8954,fruta en conserva
234,brocoli,10802,verduras
386,carne molida,7866,carne congelada
137,jeans,11374,ropa
202,garbanzos en conserva,14323,verdura en conserva
159,esparragos frasco,13153,verdura en conserva
235,vacuno,8664,carne
305,teclado,9834,producto tecnologico
294,pollo congelado,10551,carne congelada
178,manzana,13975,frutas
200,hamburguesa de verduras,5681,hamburguesa
88,mouse,12978,producto tecnologico
99,arvejas congeladas,12265,verduras congeladas
12,mix de frutas en conserva,9432,fruta en conserva
199,garbanzos en conserva,9115,verdura en conserva
228, frutillas en conserva,13599,fruta en conserva
390,vacuno congelado,12201,carne congelada
354,pollo congelado,8252,carne congelada
230,pantalla para colgar,5925,pantalla de luz
239,merlusa,8602,pescado congelado
52,manzana,7327,frutas
